Zestimate,Price,Rent_Zestimate,Bathrooms,Bedrooms,Living_Area,Home_Type,Avg_Income_Per_Capita,Zip,logZestimate,logprice,logrentzestimate,$/sqft
510735,556000,2750,3,2,1442,CONDO,102,Zip_90680,13.14360614,13.22852357,7.919356191,385.5755895
902904,840750,3900,3,3,1741,CONDO,215,Zip_92660,13.71337151,13.64204963,8.268731832,482.9121195
799515,865000,3200,3,3,1600,SINGLE_FAMILY,121,Zip_92610,13.59176057,13.67048479,8.070906089,540.625
1096626,1095000,3950,3,4,2606,SINGLE_FAMILY,150,Zip_92679,13.90774875,13.90626492,8.281470858,420.1841903
2815027,2875000,6817,4,4,3350,SINGLE_FAMILY,215,Zip_92660,14.85048241,14.87156323,8.827174771,858.2089552
840880,837000,3830,4,3,2075,CONDO,136,Zip_92618,13.64220424,13.63757935,8.250620082,403.373494
4112046,4195000,15347,5,5,3815,SINGLE_FAMILY,215,Zip_92660,15.22943127,15.2494039,9.638675294,1099.606815
1086634,1050000,3600,2,3,1559,SINGLE_FAMILY,114,Zip_92646,13.8985954,13.86430072,8.188689124,673.5086594
1269616,1175000,4097,4,3,1896,SINGLE_FAMILY,122,Zip_92627,14.05422505,13.97677871,8.318010278,619.7257384
424975,430000,2300,2,2,900,CONDO,111,Zip_92688,12.95978562,12.97154049,7.740664402,477.7777778
1100458,1046500,4226,3,4,2287,CONDO,136,Zip_92618,13.91123701,13.86096182,8.349011198,457.5863577
451515,423000,2052,1,2,814,CONDO,136,Zip_92618,13.02036387,12.95512746,7.626570206,519.6560197
1461486,1400000,4982,5,5,3000,SINGLE_FAMILY,113,Zip_92630,14.19496428,14.15198279,8.513586696,466.6666667
1297256,1288000,3500,2,3,1100,SINGLE_FAMILY,192,Zip_92663,14.07576182,14.06860119,8.160518247,1170.909091
908895,955000,3500,3,3,1969,SINGLE_FAMILY,113,Zip_92630,13.71998485,13.76946662,8.160518247,485.0177755
600242,735000,2855,2,2,1250,SINGLE_FAMILY,118,Zip_92692,13.30508819,13.50762578,7.956827122,588
606720,600000,3000,3,3,1672,CONDO,113,Zip_92630,13.31582268,13.30468493,8.006367568,358.8516746
157409,150000,2995,2,3,1566,MANUFACTURED,114,Zip_92646,11.96660279,11.91839057,8.004699511,95.78544061
752138,750000,2800,1,2,912,SINGLE_FAMILY,120,Zip_92706,13.5306751,13.52782849,7.937374696,822.3684211
1446449,1276000,4961,3,4,3274,SINGLE_FAMILY,161,Zip_92861,14.18462215,14.05924074,8.509362612,389.7373244
731174,720000,3000,2,4,1440,SINGLE_FAMILY,99,Zip_92703,13.50240674,13.48700649,8.006367568,500
1538893,1600000,5724,5,4,3063,SINGLE_FAMILY,124,Zip_92620,14.24657388,14.28551419,8.652423141,522.3636957
964319,970000,3550,2,4,2047,SINGLE_FAMILY,133,Zip_92867,13.77917743,13.78505135,8.174702882,473.8641915
635846,610000,2800,1,3,1019,SINGLE_FAMILY,99,Zip_92703,13.36271167,13.32121424,7.937374696,598.626104
1200011,1200000,3600,2,3,1821,SINGLE_FAMILY,154,Zip_92705,13.99784128,13.99783211,8.188689124,658.9785832
831216,825000,3100,2,3,1663,SINGLE_FAMILY,108,Zip_92840,13.63064497,13.62313867,8.03915739,496.0914011
725006,710000,3200,2,4,1738,SINGLE_FAMILY,99,Zip_92703,13.49393521,13.47302025,8.070906089,408.5155351
488824,480000,2500,1,2,965,SINGLE_FAMILY,123,Zip_92707,13.09975779,13.08154138,7.824046011,497.4093264
910628,932000,3600,3,5,2287,SINGLE_FAMILY,154,Zip_92705,13.72188975,13.74508809,8.188689124,407.5207696
925462,920000,3500,3,3,2101,SINGLE_FAMILY,133,Zip_92867,13.73804835,13.73212895,8.160518247,437.8867206
744065,740000,3300,3,3,2020,SINGLE_FAMILY,107,Zip_92804,13.51988368,13.51440547,8.101677747,366.3366337
602717,599000,2500,2,2,957,TOWNHOUSE,124,Zip_92620,13.30920305,13.30301688,7.824046011,625.9143156
703404,375000,2615,3,4,2026,SINGLE_FAMILY,98,Zip_91722,13.46368669,12.8346813,7.869019376,185.0937808
