Zestimate,Price,Rent_Zestimate,Bathrooms,Bedrooms,Living_Area,Home_Type,Avg_Income_Per_Capita,Zip,logZestimate,logPrice,logRentzestimate,Price_per_sqft,Total_Housing_Units_By_Zip,Homeowner_Vacancy_Rate_By_Zip,Percent_Occupied_Housing_Lacking_Complete_Plumbing_Facilities,Percent_Occupied_Housing_Lacking_Complete_Kitchen_Facilities,Percent_Occupied_Housing_No_Telephone_Service_Available,Typical_Home_Value_Mar21,Avg_Typical_Home_Value_Over_Past_10yrs,Avg_Yearly_Value_Growth_Rate
510735,556000,2750,3,2,1442,CONDO,102,Zip_90680,13.14360614,13.22852357,7.919356191,385.5755895,9360,0.4,0,2.6,1.9,604012,440589.9421,7.56748423
902904,840750,3900,3,3,1741,CONDO,215,Zip_92660,13.71337151,13.64204963,8.268731832,482.9121195,16957,2,0.4,0.4,0.9,2189923,1668159.769,6.356494331
799515,865000,3200,3,3,1600,SINGLE_FAMILY,121,Zip_92610,13.59176057,13.67048479,8.070906089,540.625,5882,2,0.2,0.2,1.6,859991,681990.124,5.528813617
1096626,1095000,3950,3,4,2606,SINGLE_FAMILY,150,Zip_92679,13.90774875,13.90626492,8.281470858,420.1841903,11249,1.3,0.1,0.2,0.8,1065062,856440.5455,5.016140623
2815027,2875000,6817,4,4,3350,SINGLE_FAMILY,215,Zip_92660,14.85048241,14.87156323,8.827174771,858.2089552,16957,2,0.4,0.4,0.9,2189923,1668159.769,6.356494331
840880,837000,3830,4,3,2075,CONDO,136,Zip_92618,13.64220424,13.63757935,8.250620082,403.373494,20640,1,0.1,0.8,1.8,985922,841695.1901,4.307652419
4112046,4195000,15347,5,5,3815,SINGLE_FAMILY,215,Zip_92660,15.22943127,15.2494039,9.638675294,1099.606815,16957,2,0.4,0.4,0.9,2189923,1668159.769,6.356494331
1086634,1050000,3600,2,3,1559,SINGLE_FAMILY,114,Zip_92646,13.8985954,13.86430072,8.188689124,673.5086594,22298,1.1,0.4,0,0.7,998664,771912.4545,5.666178819
1269616,1175000,4097,4,3,1896,SINGLE_FAMILY,122,Zip_92627,14.05422505,13.97677871,8.318010278,619.7257384,23202,0.8,0.2,1,1.2,988494,765855.9669,6.64146725
424975,430000,2300,2,2,900,CONDO,111,Zip_92688,12.95978562,12.97154049,7.740664402,477.7777778,16406,0.1,0.1,1,0.9,739971,574465.876,6.513707866
1100458,1046500,4226,3,4,2287,CONDO,136,Zip_92618,13.91123701,13.86096182,8.349011198,457.5863577,20640,1,0.1,0.8,1.8,985922,841695.1901,4.307652419
451515,423000,2052,1,2,814,CONDO,136,Zip_92618,13.02036387,12.95512746,7.626570206,519.6560197,20640,1,0.1,0.8,1.8,985922,841695.1901,4.307652419
1461486,1400000,4982,5,5,3000,SINGLE_FAMILY,113,Zip_92630,14.19496428,14.15198279,8.513586696,466.6666667,21796,0.4,0.1,1.2,1.6,827983,648413.719,6.103229266
1297256,1288000,3500,2,3,1100,SINGLE_FAMILY,192,Zip_92663,14.07576182,14.06860119,8.160518247,1170.909091,12095,1.4,0.4,1.6,1.6,2082494,1454428.959,9.596666544
908895,955000,3500,3,3,1969,SINGLE_FAMILY,113,Zip_92630,13.71998485,13.76946662,8.160518247,485.0177755,21796,0.4,0.1,1.2,1.6,827983,648413.719,6.103229266
600242,735000,2855,2,2,1250,SINGLE_FAMILY,118,Zip_92692,13.30508819,13.50762578,7.956827122,588,18437,0.6,0.3,1,1,850715,677432.7686,5.519609639
606720,600000,3000,3,3,1672,CONDO,113,Zip_92630,13.31582268,13.30468493,8.006367568,358.8516746,21796,0.4,0.1,1.2,1.6,827983,648413.719,6.103229266
157409,150000,2995,2,3,1566,MANUFACTURED,114,Zip_92646,11.96660279,11.91839057,8.004699511,95.78544061,22298,1.1,0.4,0,0.7,998664,771912.4545,5.666178819
